row_index,field,ell,C_ell,D_ell,normalized_D_ell
0,record_signature_smooth_k32,0.0,1.2037062152420224e-33,0.0,0.0
1,record_signature_smooth_k32,1.0,0.022108360210624275,0.00703730962235406,0.008060741384165584
2,record_signature_smooth_k32,2.0,0.016326780858227065,0.015590927270189849,0.017858306570046233
3,record_signature_smooth_k32,3.0,0.0128174978496333,0.024479617690066548,0.028039673962343623
4,record_signature_smooth_k32,4.0,0.018963976009251246,0.060364210450969014,0.06914294175134503
5,record_signature_smooth_k32,5.0,0.02569383065365858,0.12267900466487482,0.1405201395046203
6,record_signature_smooth_k32,6.0,0.017223041668249908,0.11512755309634556,0.13187048481618496
7,record_signature_smooth_k32,7.0,0.008838472835644115,0.07877445190586731,0.09023057369474927
8,record_signature_smooth_k32,8.0,0.03349012949021423,0.38376861502717813,0.4395798569480432
9,record_signature_smooth_k32,9.0,0.025585068090656374,0.3664791050373615,0.41977594378154537
10,record_signature_smooth_k32,10.0,0.017199781789390148,0.30111733210717473,0.34490864700562945
11,record_signature_smooth_k32,11.0,0.014196555718144986,0.2982476662997418,0.34162164740293727
12,record_signature_smooth_k32,12.0,0.020775737071776365,0.5158235552107167,0.5908394687092897
13,record_signature_smooth_k32,13.0,0.010797342478028242,0.3127579778294406,0.35824218492668664
14,record_signature_smooth_k32,14.0,0.014437288466604019,0.48253082310376433,0.5527049943309011
15,record_signature_smooth_k32,15.0,0.011539436029307314,0.4407739882936733,0.5048754878166101
16,record_signature_smooth_k32,16.0,0.01909648820762549,0.8266897343515944,0.946914731786898
17,record_signature_smooth_k32,17.0,0.011906236123559972,0.57985051780126,0.6641778344700634
18,record_signature_smooth_k32,18.0,0.013423528223344168,0.7306559377037468,0.8369147970875773
19,record_signature_smooth_k32,19.0,0.007577600296274458,0.45828476669214246,0.5249328483251102
20,record_signature_smooth_k32,20.0,0.00512440867449096,0.3425414878066539,0.3923570930836938
21,record_signature_smooth_k32,21.0,0.008538146885454343,0.627806386129105,0.7191078962675359
22,record_signature_smooth_k32,22.0,0.009566658162756102,0.7704259533493701,0.8824685425054679
23,record_signature_smooth_k32,23.0,0.008337354938774397,0.7324660504512995,0.8389881534577243
24,record_signature_smooth_k32,24.0,0.009142401489294624,0.873035033251167,1.0
25,record_signature_smooth_k32,25.0,0.006802358926887354,0.7037088811346119,0.8060488460743809
26,record_signature_smooth_k32,26.0,0.007426323557592422,0.8297191444398179,0.9503847071863295
27,record_signature_smooth_k32,27.0,0.005752761063451609,0.6921787519142336,0.7928418970044904
28,record_signature_smooth_k32,28.0,0.005184642013928515,0.6700310605990576,0.7674732800857644
29,record_signature_smooth_k32,29.0,0.004979987821273809,0.6895530201150535,0.789834306588099
30,record_signature_smooth_k32,30.0,0.0032245295231889764,0.4772758258679885,0.5466857659659106
31,record_signature_smooth_k32,31.0,0.004220705548955651,0.66637218224007,0.7632822932185341
32,record_signature_smooth_k32,32.0,0.003997806849499588,0.6719018820354681,0.7696161739733597
