mode,step,cycle,defect_id,birth_trigger,class,holonomy_mode,x,y,z,vx,vy,vz,local_stress_density,nearest_defect_id,nearest_h3_separation,support_overlap_fraction,support_overlap_node_count,contact_event,contact_outcome,support_node_count,render_as_point,render_as_string,render_in_subjective_observer_view
organic_defect_population,0,0,organic_defect_00,repair_hotspot,transposition,5,0.35260732937798156,0.44599883253380734,-0.12978644899491237,-0.020945262322927597,0.01619272021415019,0.007878848588735133,0.20673874400837583,organic_defect_15,1.7629487785702904,0.0,0,,,8,True,True,True
organic_defect_population,0,0,organic_defect_15,record_phase_slip,threecycle,4,-0.7372458193902286,-0.46520276617188855,0.8904630713339894,-0.008252778633260923,-0.010057714596594262,-0.012484100030255012,0.20673874400837583,organic_defect_00,1.7629487785702904,0.0,0,,,8,True,True,True
organic_defect_population,1,1,organic_defect_00,repair_hotspot,transposition,5,0.3350811379480749,0.4604324832309454,-0.1223125717439512,-0.017526191429906635,0.01443365069713802,0.007473877250961176,0.7179603154957314,organic_defect_01,0.8812767667143773,0.0,0,,,8,True,True,True
organic_defect_population,1,1,organic_defect_01,overlap_mismatch,transposition,2,-0.22081044445385398,-0.1974127882316937,0.06333051660965891,-0.012859727855635012,0.007638835179632695,0.020704020327173184,0.9499553553738007,organic_defect_00,0.8812767667143773,0.0,0,,,8,True,True,True
organic_defect_population,1,1,organic_defect_15,record_phase_slip,threecycle,4,-0.7473087435145942,-0.47066406822827384,0.880018240117119,-0.01006292412436563,-0.0054613020563852605,-0.01044483121687037,0.6468957314096486,organic_defect_01,1.0164804286281734,0.0,0,,,8,True,True,True
organic_defect_population,2,2,organic_defect_00,repair_hotspot,transposition,5,0.31981234495747024,0.47615079396009713,-0.11698045348492563,-0.01526879299060469,0.01571831072915176,0.005332118259025579,1.9604221634826087,organic_defect_07,0.4456281079301909,0.0,0,,,8,True,True,True
organic_defect_population,2,2,organic_defect_01,overlap_mismatch,transposition,2,-0.23805103764289307,-0.18982211545787425,0.07068667457243435,-0.01724059318903908,0.0075906727738194405,0.00735615796277545,2.0367782944558606,organic_defect_07,0.4763733230140673,0.0,0,,,8,True,True,True
organic_defect_population,2,2,organic_defect_02,sector_shear,threecycle,3,0.7798050921180028,0.4279526414533449,0.7171321927169139,0.010842945520484204,0.01693007306339287,-0.0261535070033953,1.3457400436161986,organic_defect_00,1.0057932666909044,0.0,0,,,8,True,True,True
organic_defect_population,2,2,organic_defect_07,record_phase_slip,threecycle,3,-0.002634642310335583,0.22231855774975634,0.04899060327430679,0.02409744176805259,0.0017535525668138847,0.001444198020680142,2.3192982332058287,organic_defect_00,0.4456281079301909,0.0,0,,,8,True,True,True
organic_defect_population,2,2,organic_defect_15,record_phase_slip,threecycle,4,-0.7624528815672181,-0.4829003666913602,0.8651693534189923,-0.015144138052623966,-0.012236298463086399,-0.014848886698126756,1.1448413550359522,organic_defect_01,1.0027316480271296,0.0,0,,,8,True,True,True
